Open,Close,High,Low,Time,Volume
1.08674,1.0889,1.09264,1.08192,2015.04.27 00:00:00,177084
1.08889,1.09808,1.09909,1.08597,2015.04.28 00:00:00,197759
1.09809,1.11235,1.11878,1.09592,2015.04.29 00:00:00,289153
1.11251,1.12237,1.12662,1.10711,2015.04.30 00:00:00,310176
1.12238,1.11957,1.12901,1.11742,2015.05.01 00:00:00,140398
1.11939,1.1145,1.12241,1.11223,2015.05.04 00:00:00,115764
1.11448,1.11859,1.12228,1.1066,2015.05.05 00:00:00,168494
1.11858,1.13462,1.13698,1.11745,2015.05.06 00:00:00,223137
1.13463,1.12652,1.13914,1.12369,2015.05.07 00:00:00,305890
1.12653,1.12091,1.12871,1.11795,2015.05.08 00:00:00,308296
1.12031,1.11547,1.12056,1.11306,2015.05.11 00:00:00,220457
1.11546,1.12124,1.12785,1.11341,2015.05.12 00:00:00,221563
1.12125,1.13535,1.13825,1.12022,2015.05.13 00:00:00,235643
1.13535,1.14088,1.14444,1.13404,2015.05.14 00:00:00,259726
1.14089,1.14436,1.14665,1.13234,2015.05.15 00:00:00,255686
1.14495,1.1313,1.14495,1.12984,2015.05.18 00:00:00,214402
1.1313,1.11491,1.13261,1.11181,2015.05.19 00:00:00,265426
1.11502,1.10924,1.11518,1.10619,2015.05.20 00:00:00,302880
1.10924,1.11114,1.11811,1.10795,2015.05.21 00:00:00,269282
1.11111,1.1009,1.12082,1.10019,2015.05.22 00:00:00,266122
1.10059,1.09773,1.10093,1.09586,2015.05.25 00:00:00,101485
1.09773,1.08707,1.09809,1.08631,2015.05.26 00:00:00,275028
1.08708,1.09025,1.09289,1.08189,2015.05.27 00:00:00,268036
1.09025,1.09464,1.09586,1.08666,2015.05.28 00:00:00,300744
1.09463,1.0991,1.10061,1.09254,2015.05.29 00:00:00,267294
1.09858,1.09244,1.09881,1.08869,2015.06.01 00:00:00,249507
1.09245,1.11491,1.11937,1.09156,2015.06.02 00:00:00,329299
1.11488,1.12725,1.12849,1.1079,2015.06.03 00:00:00,320312
1.12726,1.12373,1.13796,1.12221,2015.06.04 00:00:00,316672
